,orig_text,Category,PET,edited_text
0,中新网安庆3月25日电(赵强)记者25日从安庆市迎江区人民法院获悉，“安庆市立医院患者刀捅护士案”于当日在该法院进行了公开开庭宣判，迎江区人民法院以被告人陈儒林犯故意杀人罪，判处其有期徒刑9年。据迎江区人民检察院查明，2014年5月14日，被告人陈某某因病入住安庆市立医院外科大楼三楼妇科病房23床，5月19日进行子宫肌瘤切除手术。术后，陈某某下身流血并伴有白带，其多次向医生咨询，并认为医生不负责任用错了药，产生了杀医泄愤的想法。去年5月22日6:53分，陈儒林至安庆市立医院妇科护士站，以检查身体为由，将护士许某某拉往库房，遭许拒绝后，陈儒林持水果刀、不锈钢圆凳对许某某进行伤害，致使被害人许某某受伤倒地(经安庆市公安局刑事科学技术研究所鉴定，许某某损伤程度为重伤二级)。,1,下身,据迎江区人民检察院查明，2014年5月14日，被告人陈某某因病入住安庆市立医院外科大楼三楼妇科病房23床，5月19日进行子宫肌瘤切除手术。 术后，陈某某<下身>流血并伴有白带，其多次向医生咨询，并认为医生不负责任用错了药，产生了杀医泄愤的想法。 去年5月22日6:53分，陈儒林至安庆市立医院妇科护士站，以检查身体为由，将护士许某某拉往库房，遭许拒绝后，陈儒林持水果刀、不锈钢圆凳对许某某进行伤害，致使被害人许某某受伤倒地(经安庆市公安局刑事科学技术研究所鉴定，许某某损伤程度为重伤二级)。
1,躺在医院病床上的小黄。中国兰州网4月2日消息这两天，面对6岁女儿的遭遇，黄先生一家人的心情一直难以平复。新学期开学不久，黄先生的女儿小黄(化名)在宝安石岩一家幼儿园上学。3月30日下午，小黄在外婆来接她放学时一直说“下面疼”，外婆将小黄裤子脱了一看，血已经浸满了裤裆，怀疑孩子被人性侵。目前，当地派出所已经介入，涉事幼儿园也表示将配合取证。黄先生一家来自汕尾，目前住在宝安石岩水田。半年前，黄先生把女儿从石岩水田幼儿园转到春风幼儿园，就读大班5班。3月30日下午小黄非要外婆去接她，在回家的路上，小黄反复地喊疼，外婆把小黄拉到一隐蔽的地方后，脱下孩子的裤子一瞧，吓了一跳，“满裤子都是血，下身全都红肿了，血流到满裤子都是。”外婆说。黄先生告诉记者，他刚见到孩子的时候，孩子的下身仍在流血，而且无法直立行走。黄先生带着孩子去找幼儿园的班主任，却被幼儿园院长告知，可能是小女孩发育，提前来月经了。“小孩都弄成这样子了，还说这种话。”黄先生很气愤。孩子疑似被性侵黄先生说：“孩子说有人恐吓过她，如果她跟老师说，那个人说要打死她。”经过父母的安慰和一段时间的平复，小黄终于透露说，对她实施暴行的是一个她认识的人。小黄妈妈告诉记者，小黄说是一个叔叔把她从幼儿园3楼抱到2楼，“那人用手指钩她。”事发当晚，小黄被送往宝安区妇幼保健院进行医治，诊断为外阴裂伤，医院对她实施了缝合手术。记者来到事发的春风幼儿园了解情况，负责人陈女士拒绝接受当面采访，建议记者到街道教育办了解情况，并表示幼儿园会配合警方调查取证。记者从宝安警方了解到，目前警方仍在作进一步取证，尚未有调查结果。,1,下身,半年前，黄先生把女儿从石岩水田幼儿园转到春风幼儿园，就读大班5班。 3月30日下午小黄非要外婆去接她，在回家的路上，小黄反复地喊疼，外婆把小黄拉到一隐蔽的地方后，脱下孩子的裤子一瞧，吓了一跳，“满裤子都是血，<下身>全都红肿了，血流到满裤子都是。 ”外婆说。
2,今日热点今日热点世界杯来了，你是否也在连续熬夜看球？昨日凌晨0点，德国与葡萄牙的焦点大战开始，南岸区鸡冠石镇和平小区的晓兰（化名）喝着饮料、吃着薯片坐在电视机前，紧张地看着球赛。晓兰怀孕1个多月，世界杯开始后，痴迷足球的她已经连续看了三个通宵。“进咯，进咯，帽子戏法！”作为德国队的死忠球迷，看到德国队前锋穆勒连入三球后，晓兰再也抑制不住心中的喜悦，她激动地在沙发上跳来跳去，却忘记了自己是一名孕妇……买好零食等待球赛连续四天熬夜看球腹中孩子没有保住晓兰今年26岁，在一家公司做行政文员。她说，自己从小就喜欢体育运动，平时经常在电视上看足球、篮球比赛。世界杯开始后，她经常看球到天亮。作为一名10多年的德国死忠球迷，16日当天她早早为德国与葡萄牙的焦点大战做起准备。“我下班后去超市买了一大堆零食，有薯片、饼干等，还买了抗疲劳的启力饮料。”晓兰说，由于比赛是在17日凌晨0点，所以16日吃了晚饭，她就立即上床睡觉了，将闹钟设置到当晚11点30分。今日热点今日热点晓兰说，5月初她检查出怀孕，一家人特别欢喜。对于看不看世界杯，她和老公有过激烈争论。“他说才怀孕，要注意身体。”晓兰说，她对老公直言：不看世界杯，做不到。几番争论后，夫妻俩达成协议：尽量少看，不重要的比赛不看。11点30分，闹钟准时响起，晓兰起床洗了个冷水脸，又喝了一罐启力，打开了电视。昨日凌晨0点，比赛开始，德国队上半场就3：0领先。晓兰吃着薯片、饼干，感觉大局已定，准备关电视睡觉。不过，看着自己的偶像、德国队前锋穆勒已经进了两个球，她又有点不舍，“想看看他能不能完成帽子戏法。”今日热点今日热点连续四天熬夜看球中场休息，晓兰在沙发上眯了一会儿，随后被电视里的解说声叫醒，她强忍着疲倦，又喝了一罐启力提神。她告诉重庆晚报记者，其实在看德国队这场比赛前，她已经连续3天看球到天亮了。“都是强队的比赛，值得一看。”晓兰说，16日法国打洪都拉斯、15日意大利打英格兰、14日西班牙打荷兰，这三场比赛她都熬夜看了。比赛进行到79分钟，穆勒门前扫射入网，打进个人第3球。“帽子戏法！”晓兰再也抑制不住心中的欢喜，在沙发上又蹦又跳。但还没蹦几下，晓兰感到腹部一阵剧痛，下身甚至出了血，沿着腿部往下流。晓兰知道大事不好，连忙叫醒熟睡的老公。,1,下身,”晓兰再也抑制不住心中的欢喜，在沙发上又蹦又跳。 但还没蹦几下，晓兰感到腹部一阵剧痛，<下身>甚至出了血，沿着腿部往下流。 晓兰知道大事不好，连忙叫醒熟睡的老公。
3,新生的男宝宝在生后半个月或1个月时，家长如果发现其一侧睾丸肿起，表皮颜色没有变化，触摸也不痛，但却渐渐变大，等过1个月或一个半月后比另一侧的睾丸大两三倍，这种现象就是阴囊水肿，家长不可忽视。 阴囊水肿超一年应手术先天性阴囊水肿发生率很高，足月产的婴儿达到6%~8%。因为睾丸下降到阴囊之后，腹腔和阴囊间的信道鞘状突并未完全闭合，使腹水流入阴囊，包围着睾丸而形成先天性阴囊水肿。阴囊水肿是可以自愈的，宝宝大概过两三个月就会自然吸收而不留痕迹。吸收慢的也不会超过1 年。阴囊水肿在一侧的比较多，偶尔也有两侧都有的。若等到1 年还不消失，家长可考虑给宝宝手术。阴囊水肿预防大于治疗虽然男宝宝阴囊水肿1 年后大都可以自愈，但是日常生活中家长也要注意宝宝的保暖，最好使室温保持在26℃~28℃ 。因感冒、鼻塞、打喷嚏、呼吸困难等，均可引起腹腔内压力增高，导致阴囊水肿的发生。而且，应注意宝宝的个人卫生，防止细菌侵入和病菌感染。家长要勤给宝宝换尿布，保持宝宝下身干爽。要给其准备专用的浴盆，不要与大人共用脸盆和毛巾。另外，家长应尽量稳定宝宝的情绪。脾气暴躁、易发怒、生气等均可引起交感神经的兴奋，使肌肉紧张、腹腔压力升高，导致阴囊水肿。,1,下身,而且，应注意宝宝的个人卫生，防止细菌侵入和病菌感染。 家长要勤给宝宝换尿布，保持宝宝<下身>干爽。 要给其准备专用的浴盆，不要与大人共用脸盆和毛巾。
4,8个月大的彤彤最近排尿异常，妈妈给她把尿时发现她的尿流越来越细，有时候还会哭喊，前几天给她换尿片时发现，她的阴道口竟然不见了！心急如焚的妈妈带她去医院，结果医生说她的小阴唇粘连严重，需要手术。原来她患病原因就是因为妈妈不经常给她更换尿不湿，也不怎么给她清洗下体。 前几天9个月的楠楠发烧二十多天都不见好，家人带她从广东老家专程去武汉的大医院诊断，结果被确诊为尿路感染，致病原因也是长期不当使用尿不湿。现在的宝宝普遍都使用尿不湿，因为尿不湿吸水性强，有的妈妈给孩子穿上尿不湿就万事大吉了，其实尿不湿使用不当会给宝宝带来很多伤害，尤其是女宝宝。 一、长期使用不当尿不湿危害多1.容易出现“红屁股”。虽然尿不湿吸水性强，但是有经验的妈妈都知道，给宝宝换尿不湿时还是能感觉到宝宝的屁屁有潮湿的感觉，宝宝的小屁屁长期处在这种潮湿环境下，加上尿液的刺激，自然容易出现“红屁股”，还有可能引发湿疹。2.引发炎症。有的妈妈给宝宝用上尿不湿后不及时更换，也不注意给宝宝清洗，很容易造成外阴湿热，分泌物存积不能及时透气，尤其是女宝宝，因为生理结构的原因很容易造成尿路感染、小阴唇粘连等。 二、使用尿不湿要注意这些事1.经常更换。只要发现尿不湿有2-3次的尿量就要赶快换了，不要等到宝宝大便后才换，刚开始时平均3个小时就要换一次，夏天天气热，可以适当增加更换频率。2.及时清洗。宝宝使用尿不湿时私处处在潮湿温热的环境下，容易滋生细菌，所以日常护理中每天应该至少用清水给宝宝清洗下身，尤其是女宝宝更要注意清洁卫生，在换上新的尿不湿前要让宝宝的下身在空气晾一会儿，进行充分呼吸，干燥后再换新的。 3.大小合适。给宝宝用尿不湿要挑选合适的尺码，宁大勿小，宁松勿紧，已经小了的尿不湿即使没用完也不要再继续用了。过紧的尿不湿容易影响男宝宝睾丸的正常发育，日后易患不育症，女宝宝的尿不湿过紧容易滋生细菌，侵犯尿道口。4.质量过关。现在市面上的尿不湿品牌繁多，很容易挑花了眼，给宝宝选尿不湿时一定要挑选大厂家、好材料、高质量的尿不湿。挑选时要注意看尿不湿的棉质是否均匀，吸水珠子是否被很好的固定，亲肤层是否足够柔软，腰围弹性是否贴身舒适。图片来自网络嘟嘟医生为孕育期家庭提供优质的在线医疗健康服务，开设备孕、孕期、产后、0~3岁宝宝相关的健康公开课，还可以一键接通三甲医生电话，让怀孕和育儿更简单。,1,下身,2.及时清洗。 宝宝使用尿不湿时私处处在潮湿温热的环境下，容易滋生细菌，所以日常护理中每天应该至少用清水给宝宝清洗<下身>，尤其是女宝宝更要注意清洁卫生，在换上新的尿不湿前要让宝宝的下身在空气晾一会儿，进行充分呼吸，干燥后再换新的。  3.大小合适。
5,女星下身红肿就医痛到泪崩大喊“好后悔”,1,下身,女星<下身>红肿就医痛到泪崩大喊“好后悔”
6,说到智能马桶盖，或许已经有不少消费者对此有所了解。智能马桶盖起源于美国，发扬光大于日韩。目前，日韩国家的智能马桶盖普及率已经达到80%。近年来，随着国民生活水平和健康意识的提高，国民也越来越注重个人健康意识。因此，智能马桶盖也悄悄走进国民的视野。那么智能马桶盖适合哪些人群使用呢？首先是有痔疮、便秘的人群。使用卫生纸并不能擦干净臀部周围褶皱里污垢。而智能马桶盖中含有的温水冲洗和暖风烘干功能，能够刺激肛门周围的毛细血管，促进肌肉松弛和血液循环，使之预防和缓解痔疮和便秘。其次是女性。女性需要维持清洁的身体，特别是在生理期前后。智能马桶盖能够彻底清洁女性私密部位，预防各种妇科疾病。即使是孕妇，在怀孕期间行动不便时，智能马桶盖也是个非常不错的小助手。然后是老人。老年人的身体抵抗力比较弱且腿脚不灵便，而智能马桶盖中的温水清洗、暖风烘干等功能让身体不便的人不再担心如厕难题。最后还有注重健康、讲究卫生、追求生活品质的人群。智能马桶盖中的座圈加热、温水冲洗、暖风烘干、抗菌除臭等功能，能给人们带来更加舒适、方便、健康的生活。 随着智能马桶盖在世界的普及范围不断扩大，市面上出现的智能马桶盖品牌繁多，TOTO正是其中的代表者。TOTO智能马桶盖拥有先进的洗净与清洁功能。包括臀部洗净、轻柔洗净、下身洗净。臀部洗净：TOTO卫洗丽最常用的清洗方式，卫洗丽喷嘴喷出温暖水流对臀部进行清洗，适合于家庭中的每位成员。轻柔洗净：喷出的温热水珠更加柔和细腻，有效保持对关键部位的清洁，更加适合老人、儿童或臀部不适者使用。下身洗净：专为女性朋友特别设计，能够彻底清洁女性的私密部位，带给女性最舒适的洁净体验。,1,下身,TOTO智能马桶盖拥有先进的洗净与清洁功能。 包括臀部洗净、轻柔洗净、<下身>洗净。 臀部洗净：TOTO卫洗丽最常用的清洗方式，卫洗丽喷嘴喷出温暖水流对臀部进行清洗，适合于家庭中的每位成员。
7,戴胸针的女人，都是有故事的女人，永远是个性的先锋。她们用胸针发出自己的品味与身份的信号。一个懂得如何运用胸针的女人必然是生活精致、充满智慧的。 胸针从材质上又分很多种，如铂金、黄金、珍珠、钻石等。而在众多胸针中，尤以翡翠胸针最受东方女性的青睐。它在保留古典韵味的同时，又惊艳的引领着潮流与时尚。 胸针的戴法很多，佩戴位置也是各种各样。别在领子上与男伴的口袋巾相呼应，左右领都别上胸针，将一件普通衣服变独特；别在腰间增添时髦感；如果你心情大好，也可以别出心裁地当发饰用。 “时尚智慧的结晶”，智慧的女人们总能为胸针赋予新的生命：别在后衣领上装饰背后风景；别在领口前面，相当于儒雅绅士的领结，是优雅女人精致至极的体现。 别在低胸上衣或连衣裙的领口处，一种端庄，一种优雅的美便呼之欲出了。 穿的衣服色彩较简单，可佩戴花饰胸针；上衣如果是多色彩，下身是较为深色的裙或裤，那么应佩戴同下身一样颜色的胸针。 穿的衣服颜色较浅时，应搭配颜色较浅的胸针；穿的衣服颜色较深时，比如可以搭配帝王绿的翡翠胸针。 穿正装时可以选择大些的胸针，材料也要好些，关键是色要正。此外，出席高档场合时，一枚高档的翡翠胸针可以体现衣服的档次。 当然，选择胸针也是有技巧的，我们可以从以下几个方面着眼：1、造型。胸针之美还体现在造型上。每个翡翠胸针都有其特定的含义，比如翡翠配钻石的胸针寓意高贵、永恒、情深意长。 2、大小。翡翠胸针不仅要美观，还要和我们的体型相衬。如果你是体型高大的女士，选择体量较大的翡翠胸针会比较合适，反之亦然。 3、工艺。胸针的做工以薄、小巧为佳。较宽的胸针在灯光下会显得不精致。 例如小粒翡翠镶嵌而成的翡翠胸针，比用一块制成的装饰效果要好！中联华辰珠宝有限公司专注于翡翠研究、翡翠选料、设计、加工、销售，倾力打造产品品质与价格优势；零售、批发并举，现供货全国32家客商，客户已覆盖全国各省市自治区及香港、台湾地区。公司全体员工正期待着您的合作 ！更多交流请加微信15905302102,0,下身,别在低胸上衣或连衣裙的领口处，一种端庄，一种优雅的美便呼之欲出了。  穿的衣服色彩较简单，可佩戴花饰胸针；上衣如果是多色彩，<下身>是较为深色的裙或裤，那么应佩戴同下身一样颜色的胸针。  穿的衣服颜色较浅时，应搭配颜色较浅的胸针；穿的衣服颜色较深时，比如可以搭配帝王绿的翡翠胸针。
8,看见反手摸肚子了吗？我也想，可是身材不允许！！吃？不吃！吃？不吃！我要减肥啦！别喊我吃晚饭啦！可是，就是忍不住怎么办啊！其实清淡又美味的晚餐还是可以有的，满足味蕾，还没有负担！不要节食，咱要做健康的瘦子！接下来给减肥中心小编给大家分享五个生活饮食习惯，只要你能记住并实践下去，转身变瘦子，不信试试！ 1.饭前一苹果苹果含独有的苹果酸，可以加速代谢，减少下身的脂肪，而且它含的钙量比其他水果丰富，可减少令人下身水肿的盐分。适当而有规律的运动和均衡的饮食是减肥者必须要坚持的，如果能在每餐之前吃个苹果，瘦身的效果就更会出人意料哦。苹果中含有丰富的膳食纤维，它们会为你带来饱足感，大大减少你的进食欲望。2.营养丰盛的早餐不可少不吃早餐，中餐和晚餐时必然会吃下过多的食物，尤其是晚餐，饭后不久就睡觉。机体来不及消化吸收，长此以往，身体不堪重负，使得热能过剩，极易造成脂肪堆积，使人发胖。不吃早餐会变成易胖体质，所以，早餐是减肥之道。早餐可以选择粗粮面包、鸡蛋、脱脂牛奶，简单又营养。3.饭前一碗汤早上起来空腹喝一杯淡盐水，促进肠道蠕动。洗漱后再吃稀饭（煮的烂点），中午正常吃，肉类可吃牛肉、鸡肉和鱼等，千万别吃肥肉，晚上只吃菜不吃饭。饭前一碗汤，注意，饭前一定要喝一碗汤，比如米汤、面汤、粥等，这样可以让肠胃更好的蠕动，更利于消化，原汤化原食嘛。吃饭6至7分饱，要多吃蔬菜，水果适量，零食尽量减少，不必刻意不吃肉，保持良好作息时间。4.适当的增加蛋白质在减肥的时候，一定要注意减去的是脂肪，最好不要“累及”肌肉，让肌肉也随之减少，因为肌肉也会帮助你减肥。不妨多食用那些高蛋白质、低碳水化合物含量的食物。牛肉、奶制品、家禽、鱼类、蛋类等食物中含有氨基酸亮氨酸，都是你不错的选择。 5.变着法喝水众所周知，多喝水能减少卡路里的摄入。身体往往分不清渴的信号和饿的信号。因此，为自己随时补水会让你一直有饱足感而减少食欲。但是，很多人觉得水无滋无味，不停地喝这些无味的东西实在是让人提不起兴趣来。其实解决这个问题的方法很简单，在水中加入一片柠檬，酸酸甜甜的，让你一喝再喝。当然还有很多生活方法可以帮助大家来控制体重，达到瘦身效果。小编可以推荐北京本地朋友可以添加健康饮食减肥导师微信：tqy1918(长按复制）关注更多科学食疗减肥方法。只要想瘦身，我们就能帮到你。,0,下身,接下来给减肥中心小编给大家分享五个生活饮食习惯，只要你能记住并实践下去，转身变瘦子，不信试试！  1.饭前一苹果苹果含独有的苹果酸，可以加速代谢，减少<下身>的脂肪，而且它含的钙量比其他水果丰富，可减少令人下身水肿的盐分。 适当而有规律的运动和均衡的饮食是减肥者必须要坚持的，如果能在每餐之前吃个苹果，瘦身的效果就更会出人意料哦。
9,秋冬相信妹子们都会想要一条百搭显瘦又比较保暖的打底裤~这款的话是牛仔面料的，修身微弹的版，上身显身材而且不会有束缚感，微胖妹子的福利款哦~简简单单的版型，作为打底来说很适合！里面是有很一层很薄的绒哦，现在穿会比较保暖~重点是超级显瘦又百搭，怎么穿都不会出错！！ 选了两个最最经典的颜色气质的驼色和今年很出挑的浅蓝色在说说版型大气的驳领完全的显脸小啊肩部的设计也很挺括不论胖瘦都可以很好的把蝴蝶袖收住口袋处加了袋盖让整件衣服更大气沉稳扣子选用了同色系的暗扣一般大衣扣子扣住穿会low但这件绝对不会搭配半身裙或者裤子都很时尚 一条美好到没有破绽的半身裙，纯手工的撬边细心地把裙摆的明线都隐藏了起来，特别定制了仿呢料的布料，不会过分厚实，秋季穿正好合适，松紧的腰带被锁进了裙腰，裙摆没有天真地放任到很大，微微张扬的样子更有独立的气息 满版锯齿状的印花，使用貌似回到了默剧时代的黑与白，明亮对比出清晰线条，使衣著轮廓更凸显~以雪纺面料结合衬杉版型，隆重感中又不失气质美感，正是轻熟女的秋季首选单品阿~商品材质聚酯纤维:100% 上半身波点真丝材质A型下摆是荷叶边能很好的遮住肚子上的肉肉，下身是包臀修身型很显瘦凹凸有致！ 这几年街拍的流行让皮草外套成为了混搭的时尚单品。更是随着不同人的性格和想法衍生了不同的搭配，无袖马甲的设计，不会显得臃肿，H型款上身时尚有型，拼皮设计，线条看起来自然大气。 还记得这个小喇叭型的牛仔裤吗？开春的时候卖过，那时候是韩国原单，价格也有点贵，因为太好穿了，我几乎都是穿它，所以这个秋季我自己重新定制，质量都是杠杠的，至于价格也是很美丽的，真的是超级超级棒的一条裤子.小微喇的设计，不会太夸张，小宽松的感觉，简直是今年流行的风向标 MadeinKorea柔软棉料大大提升衣著质感，强调前短后长的OverStyle，打造最佳吸睛感的街头风，搭配百褶长裙或是单穿，再穿上一双布鞋就足以让你魅力满分啦！,0,下身,！  选了两个最最经典的颜色气质的驼色和今年很出挑的浅蓝色在说说版型大气的驳领完全的显脸小啊肩部的设计也很挺括不论胖瘦都可以很好的把蝴蝶袖收住口袋处加了袋盖让整件衣服更大气沉稳扣子选用了同色系的暗扣一般大衣扣子扣住穿会low但这件绝对不会搭配半身裙或者裤子都很时尚 一条美好到没有破绽的半身裙，纯手工的撬边细心地把裙摆的明线都隐藏了起来，特别定制了仿呢料的布料，不会过分厚实，秋季穿正好合适，松紧的腰带被锁进了裙腰，裙摆没有天真地放任到很大，微微张扬的样子更有独立的气息 满版锯齿状的印花，使用貌似回到了默剧时代的黑与白，明亮对比出清晰线条，使衣著轮廓更凸显~以雪纺面料结合衬杉版型，隆重感中又不失气质美感，正是轻熟女的秋季首选单品阿~商品材质聚酯纤维:100% 上半身波点真丝材质A型下摆是荷叶边能很好的遮住肚子上的肉肉，<下身>是包臀修身型很显瘦凹凸有致！  这几年街拍的流行让皮草外套成为了混搭的时尚单品。
