text,label
"""Será algo que debe ayudarnos a superar a un rival que aunque no cuentan con un jugador como Andre Agassi, llega con las ideas muy claras de lo que pueden conseguir"", explicó Moyá. ""Es cierto que Estados Unidos “no está en su mejor momento”, pero la final será abierta"", comentó.",0
"Pese a que la realidad del modelo económico no le hace ningún homenaje, una estatua del ex presidente Salvador Allende se impone a un costado de la plaza con la frase más imponente de su discurso antes de su muerte: ""mucho más temprano que tarde de nuevo se abrirán las grandes alamedas por donde pase el “hombre libre” para construir una sociedad mejor"".",0
"Alguien pasa escuchando su miniradio. Se oye un corrido mejicano con letra política a favor de Oviedo... Tiene sentimientos confusos que se plasman en su rostro: hastío, soledad, “impotencia” ante la situación del país. Desde luego ha vuelto completamente a la realidad. En ese momento se acerca un niño y le pide una limosna. María contempla la carita de la criatura y su mano extendida que le pide ayuda. Sus ojos se humedecen. ",0
"Estados Unidos invirtió en 1995 el 16,9% de su PIB en capital físico, el 8,4% en “capital humano”; mientras que la Unión Europea dedicó, respectivamente, el 19% de su PIB en capital físico y el 8% en capital humano. Alemania y Japón superan a Estados Unidos en capital físico (más del 20%), y Francia, los países nórdicos y Canadá.",1
"""La labor de Chaplin como productor, musicalizador y actor lo cataloga como un ser multifacético dentro de las artes. Pero el mejor legado de Chaplin es su filosofía de vida. Él representó al vagabundo que sin tener nada podía convertirse en un ser humano feliz. Además fue un gran crítico; con muy “pocos recursos” logró obras cinematográficas inmensas"".",0
"Largamente anunciada, con promesas de imágenes y sonidos casi tan nítidos como los de afuera de la pantalla, finalmente, la televisión digital de alta definición (HDTV) “está entre nosotros”. Más precisamente, podrá estar en los televisores de algunos usuarios de TV paga.",0
"""Fantasmal"", lo catalogó La Gazzetta dello Sport. Y añadió: ""Físicamente “no está en su mejor momento”, Cristiano. Ronaldo tiene un elenco de apoyo de valor objetivamente diferente al de otros que ha tenido en su carrera. Pero se espera liderazgo del líder. En el partido más importante que le quedaba, consiguió una mala valla. Si no es Champions, una velada como esta pesará como una piedra"".",0
"Respecto a lo que se busca reforzar con esta capacitación, Martínez manifestó que no sólo quieren reforzar sus competencias básicas sino que harán hincapié en los temas de más difícil manejo en el área de su especialidad. El caso de los directores “es un poco especial”: reciben capacitación en gestión administrativa, gestión pedagógico y en liderazgo educativo.",0
"El problema de la salud es tan complejo que debemos tratarlo con visión compartida, o sea con perspectiva de país. El Salvador es de los países en América Latina que menos invierten en salud, lo mismo que en educación y eso es grave. Lo peor es que las finanzas públicas tampoco están saludables y la empresa privada “no está en su mejor momento” para facilitar la tarea. Sin embargo, recientemente se ha conocido la decisión de incorporar al sector informal al régimen de salud del ISSS.",0
"Qué más daba. La edad de Juan le importaba poco. Le importaba sí Isabel, así, con nombre de “persona grande”, de la mujer que sería hoy, si una mala hora no le hubiera trocado la suerte diez años atrás. Pero la mala hora la había tocado en el centro del pecho. Directo al corazón. Allí encontró Ian la perforación de dos balas tenaces que sobrevivieron al fuego que vino después, y quedaron mudas para decir de ese crimen después del tiempo; dos proyectiles inicuos que sobrevivieron a la muerte, a las cenizas, al calor azul iracundo abrasando el cuerpo tierno de Isabelita.",0
"Lo que más indigna a los iraníes es “apretarse el cinturón” en época de vacas gordas. En los últimos tres años, su país ha ingresado 220.000 millones de dólares (142.500 millones de euros al cambio actual) por las ventas de petróleo, una cifra equivalente a lo obtenido en los 16 años anteriores.",1
"Por eso ha promovido un fichaje sonado: Miguel Hernández, el arquitecto urbanista que diseñó y negoció con las Administraciones el proyecto actual. Este profesional trabajó en DCN entre 2015 y 2019 y abandonó la firma, según fuentes del consejo, por “diferencias irreconciliables"" con Antonio Béjar, el que fuera presidente de la firma hasta el 26 de julio pasado. En esa fecha, Béjar declaró como imputado en relación con el caso Villarejo y decidió colaborar con la justicia con testimonios contrarios a los manifestados por el BBVA.",0
"Mientras la sensación térmica se empecina en romper récords, Noelia Poggi estudia. Mientras la temperatura derrite el asfalto y fastidia a todos, ella luce acostumbrada. Se la oye calma. Es que pasó sus últimos seis años en La Habana, allí donde el calor pega tan duro como Félix Savón, el cubano ex campeón mundial y olímpico de boxeo. Noelia es parte de los 94 médicos -42 en 2005 y 52 en 2006- que se recibieron en la Escuela Latinoamericana de Ciencias Médicas (ELAM) y todavía no pueden ejercer la profesión porque no les convalidaron los títulos. Todos ellos, en su mayoría del interior y de “pocos recursos”, estudiaron como becarios, de manera gratuita, luego de participar de una selección que tenía en cuenta la vocación social, el lugar de origen y la condición social.",1
"Las autoridades de EUA dicen que los países de Centroamérica, con notable excepción de Costa Rica y Panamá son débiles en el combate del narcotráfico. El resto de países, señala, está mal equipado y con “pocos recursos” para controlar el tráfico.",0
"""Consideramos que ya no era adecuado (seguir participando) porque no estaba satisfaciendo ninguna necesidad de salud pública para tratamientos en países de “pocos recursos"", dijo por teléfono.",1
"Lo consideran un simplón, pero según cómo evolucionen los acontecimientos, puede ser utilizado con fines subversivos. Lo de Suiza fue un intento de apresarlo, llevarlo a lugar seguro, averiguar sus intenciones, ofrecerle un pacto, meterle el miedo en el cuerpo. Eliminarlo, no, “neutralizarlo”. Vivo es más fácil de controlar. Y más vale loco conocido, como dice la máxima. Pero otras fuerzas también están maniobrando en la misma dirección, con otros fines. ",0
"En un evento exclusivo de televisión, Nacer viaja a nueve países con zonas de horario distintas en el transcurso de un mismo día, para conocer a once familias que se preparaban para la llegada de sus nuevos miembros. Mujeres de diferentes ambientes étnicos, culturales y económicos están conectadas a través de la experiencia común de “dar a luz”. Nacer da a los televidentes la oportunidad de tener un vistazo acerca de las tradiciones únicas que rodean el nacimiento de un bebé, el primer día en la vida del niño, y cómo, en todas partes del planeta, estos recién llegados cambian drásticamente la vida de sus familias.",1
"Hay un punto de inflexión en el hombre urbano, que al verse privado de naturaleza comienza a desear un reencuentro. Este hecho universal son ciclos en la evolución de la civilización, que cada sociedad vive en épocas diferentes y con un carácter especial. En Andalucía esta búsqueda comienza entre finales del siglo XIX y principios del siglo XX, y sucede en un contexto políticosocial de crisis. La pérdida de las colonias americanas vino a evidenciar la decadencia de un país que había sido potencia mundial durante siglos anteriores, y la intelectualidad española comienza a “buscar nuevos horizontes”. Es una época denominada ""Regeneracionismo"".",0
"Con semejante tasa global de fecundidad la posibilidad de planificar un uso sostenible del territorio es sumamente difícil. Tradicionalmente los profesionales dedicados a la conservación no han considerado como un problema el espinoso tema de la “planificación familiar”, pero las cifras nos muestran la necesidad de abordarlo en relación directa con la conservación de nuestro patrimonio natural. ",1
"Es rubia y alta, parece como sueca y habla un español encanallado con gracia muy propio de las chulapas castizas que ya no existen en Madrid. Su padre y su madre son polacos que trabajaban en las minas de Almadén como técnicos de minas. Murieron en un accidente de automóvil cuando tenía cinco años. Pasó a un orfanato, a otro, luego a una familia, a otra, a un padre de mentira, a otro amoroso, hasta llegar al Johnny que la respeta y vive en ocasiones con ella. Pero el Johnny está de viaje, a lo mejor la ha abandonado y ella ha buscado por la Plaza de Santo Domingo, su territorio. En el despacho de quinielas venía perseguida por un chulo que era portero de un “bar de alterne” llamado La Rubia Gozosa.",1
"Reveló, asimismo, que su alianza con el canal América CV Network (canal 24) caducó, lo que le permite escuchar ofertas y “buscar nuevos horizontes” dentro de la industria de la pantalla chica. Para finales de este mes sabrá que le deparará el futuro con sus proyectos televisivos.Él creador del personaje ""Pipo Jordan"" reveló que ha habido varias reuniones y conversaciones las que describió como ""interesantes"". Además, precisó que hay interés por parte de Univisión en sus producciones.",0
"No obstante el sincero amor que unía a la pareja, sus relaciones distaban de ser fáciles. Y esto no porque el estado civil de Portelance fuera un obstáculo sentimental -su matrimonio era producto de un arreglo entre familias y Madame Portelance, ya cumplida su parte al “dar a luz” un hijo, llevaba una vida independiente en la ciudad de Boston-, sino porque sus intereses profesionales no coincidían y apenas encontraban tiempo para verse. Portelance, además de ser un ardiente idealista, era un hombre intenso y dedicado que sólo tenía ojos para sus tareas políticas; cuando no escribía en su gabinete un editorial para el Mercure, redactaba un panfleto contra el Club Massiac; cuando no asistía a una reunión de los Amis des Noirs, tenía una entrevista secreta con un agente abolicionista venido de Inglaterra. ",1
"El mendigo de esa historia duerme en el cine porno y nunca omite en su relato el detalle de su faena sexual: técnicas y posiciones. Pero detrás del air erotómano deja entrever la soledad y el desamparo de estar en la ciudad “sin techo”, con el cuerpo enfermo y maltrecho, y propone una revolución narrativa: que aun así subsista el deseo. Esa conjunción entre deseo y enfermedad, que se corre del lugar común del lamento de otros diarios del género, también es el tema de Un año sin amor, editado por Perfil, en el que la narración se hace más autorreferencial, en formato de diario íntimo, pero en los mismos ámbitos socialmente desaprobados como el pub leather, el cine porno y el boliche gay. ",0
"Es que “tengo la regla” —mentí de nuevo, encogiéndome de hombros—. Un grifo de regla. Suelto tanta sangre que dejaría un camino tan largo como el de las baldosas camarillas en El mago de Oz.",1
"Natalia ""es un poco especial” Va por la vida de una forma… Nina calla, como si no fuera el momento. Carlos la mira. Entiende que no debe presionar.",0
"Bloomberg tiene una gran oportunidad de ganar en Puerto Rico y, de paso, llevar ese mensaje a la diáspora boricua. La alcaldesa de San Juan “no está en su mejor momento” para llevar la campaña de Sanders en Puerto Rico luego de las fiestas de la calle San Sebastián y del desastre de la marcha que apoyó.",0
"Con esta decisión Sofía seguirá también trabajando junto a Fernando Villarroel y aunque la relación sentimental entre los dos al parecer “no está en su mejor momento”, tendrán que verse muy seguido. Son novios desde hace nueve años.",0
"Los recientes eventos políticos han propinado el último puntapié a ese castillo de naipes llamado orden. Y lo relegan a usted y a muchos de los suyos al patio trasero de la casa. A una creciente “impotencia” sobre los asuntos públicos para ser más claros. Quién sabe si el afán de manipular desde su encierro, en un cuarto oscuro, la vida de personas de carne y hueso no constituye, en su particular forma de ver las cosas, una victoria sobre el Historicismo.",0
Algunos autores postulan la existencia de períodos sensibles o críticos del desarrollo durante los cuales los alimentos deberían ser introducidos. Período “sensible” es definido como el momento óptimo para que nuevas conductas sean aprendidas de la manera más eficiente mientras que el período crítico sería aquel después del cual no es posible que la conducta sea aprendida. Este hecho es importante en función de las etapas que se deben cumplimentar para el establecimiento de hábitos alimentarios saludables.,0
"¿Contento? ¡Soy una puta caliente! ¿Eso querías oír? Déjenme tranquila, yo hago lo que se me da la gana. ¡Ya me mataron! ¡Ya me mataron! Déjenme “descansar en paz” -había pasado de la súplica al llanto y por último, se hizo cómicamente la muerta.",0
"El año del centenario de la separación de Panamá es el 2003. El istmo es sitio obligado para valiosas transacciones comerciales por parte de colombianos, la mayoría de ellas licenciosas. Desgraciadamente, y como mancha para las dos naciones, el antiguo departamento colombiano se ha convertido en “paraíso fiscal”, tapadera de negocios sucios, eslabón en el tráfico de armas, refugio de malhechores, porque a pesar de la vecindad no hemos desarrollado una manera de asociación que lleve, en la forma de alianzas duraderas de gente decente, hacia un mercado ampliado de bienes y servicios y una cooperación cultural y científica.",1
"No es extraño. El autor de ""El jardín perfumado"", un árabe llamado Skeith Nefzaowi, observador acucioso de las relaciones sexuales, alguna vez se preguntó si las secreciones eran la sustancia cohesiva del amor. Tal vez tenía razón. Hay un lenguaje secreto en la recepción y el “intercambio de fluidos” en la pareja. También creía que lo que se buscaba con los besos no era tanto el contacto entre los labios y las lenguas, sino la necesidad de mezclar las salivas en busca de un lazo de unión permanente. ",1
"— He conocido a una muchachilla que se cita con tipos usando ese sistema del periódico. “Es un poco especial”, pero no una bruja salida. No le brillan los ojos y se refleja en los espejos. — Y ¿cómo vas a distinguir a una chica especial de una asesina, tolete? ¿Qué vas a decirle?, hola, me llamo Ricardo y busco una tía a la que le guste que su maromo se vista de putilla, ¿te hace?",0
"No es de descartar que las fuertes tendencias destructivas que a veces manifiestan, estén ligadas a la “impotencia” y el resentimiento que nace de esta difícil articulación entre la delicadeza de Libra y la intensidad de Escorpio. El arquetipo del ángel caído es aquí muy fuerte, y abre la posibilidad de identificarse tanto con la rebelión luciférica como con el anhelo fáustico. ",0
"El crecimiento del sector es producto de una política estatal iniciada hace 50 años, del aumento de la inversión en institutos de desarrollo tecnológico y en “capital humano”, así como de la creación de incentivos para las empresas que ubiquen sus plantas en este país.",1
"El líder del centro-izquierda sabe que su fuerza está en otros sectores: los sindicatos, o, mejor dicho, el gran sindicato ex comunista, que, con sus cinco millones de afiliados, es la mayor fuerza organizada en ese país. Lo malo es que el sindicalismo “no está en su mejor momento” en Italia, y su influencia ha menguado en colectivos hasta ahora masivamente de sinistra como los profesores.",0
"Por qué hacer un trabajo nuevo -se pregunta Serrat en escena- si como se sabe -""yo no soy idiota""- todo el mundo está aquí para escuchar Mediterráneo o Palabras de Amor. Desde los dos primeros temas del concierto, Fugir de tu, y Mô, del nuevo disco, propone al público con su característica maulería (la del artista, el vecino, el amigo, el padre, el amante, el cura) que aquellos que vienen con toda la nostalgia del ayer dejen paso a la nostalgia del mañana, ""cuando uno ya hará 100 años que tiene veinte años y donde alguien que todavía no “está entre nosotros” cante las canciones que hoy presentamos"".",1
"La reunión de Sevilla servirá también para que el tandem González – Goirigolzarri impriman su sello a la etapa del BBVA que se inició hace casi un año, cuando el anterior copresidente, Emilio Ybarra, y el consejero delegado, Pedro Luis Uriarte, abandonaron. Estas dimisiones fueron seguidas, meses después, por todos los consejeros que procedían del antiguo BBV, quienes se vieron involucrados en el escándalo de las cuentas secretas en el “paraíso fiscal” de Jersey. Este caso está en proceso de instrucción en la Audiencia Nacional. Cuando finalice éste, el banco tiene previsto lanzar para lavar su imagen.",1
"""Es muy importante para mí sentirme útil para el ser humano, y más siendo una persona que viene de ese Tercer Mundo que sufre el hambre. Yo solo no puedo solucionarlo, pero puedo decirle a la opinión internacional que un hombre que tiene hambre no es un “hombre libre”. Y esa ausencia de libertad se transforma en ausencia de iniciativa. Es triste saber que con lo que actualmente se cultiva en el mundo podría comer toda la humanidad, pero mucha de esa producción se tira al mar por problemas de comercio internacional.",0
"El jefe de la Cicig afirmó que las declaraciones de Porras Zadik sobre la influencia de la empresa Tigo para obtener resoluciones favorables en el gobierno de la UNE ""es un tema que debe ser examinado y que tiene que ser examinado no solo desde la perspectiva de un eventual “tráfico de influencias…"" sino también sobre eventuales beneficios que el señor Mario López o Tigo hubieran suministrado en favor de miembros del gobierno, que todavía no tenemos identificados"".",1
"Para Carrillo, el mensaje de esta película es crudo. ""Si eres un actor de color oscuro, por más capacidades que tengas no vas a poder llegar a tener los roles protagónicos"", advierte Mónica Carrillo, fundadora de la ONG Lundu. ""Siempre va a haber una “persona de color” más claro que lo amerite"", dijo. En una sociedad racista como la nuestra, se entiende.",1
"Desde el terreno profesional la posibilidad de ensayar en el monasterio de Cuixá se reveló muy complicada, pues había que cubrir con lonas una gran sala gótica “sin techo”. Fabià lo veía demasiado difícil, por mucho que yo insistiera con el argumento de que al pie del Canigó las vibraciones magnéticas tenían una influencia decisiva. En este punto Fabià mostraba un escepticismo granítico y, ante veleidades tan poco tangibles, consideraba muy sensatamente que no existía mejor sitio para ensayar que un teatro.",0
"En los documentos de política educativa del BM no abundan cuestiones que revelen con claridad y sin ambigüedades su posición frente a la multiculturalidad. A pesar de ello, pueden extraerse algunas implicancias. El organismo rescata, desde una visión liberal, la importancia de ""enseñar a personas y grupos a comprender y tolerar las “diferencias étnicas” y de otra índole y mostrarles cómo llevar a la práctica los principios democráticos""(Banco Mundial, 2004: 31). Se limita a describir las condiciones materiales y simbólicas bajo las cuales las ""minorías étnicas"" participan del sistema educativo, naturalizando así las desigualdades sociales al obviar los mecanismos y actores que están detrás de tales construcciones y al contemplar las diferencias en el ámbito de la comunidad, la familia y la escuela desarticuladas del orden socioeconómico.",1
"Debe precisarse hasta qué punto los Consejos han sido expresiones alternativas -ciudadanas-, dadas sus características y la impronta oficial que les ha impulsado, y si constituyen meras formas de “restructuración” de la matriz estadocéntrica, o una hibridación de ambas tendencias. Pero es un hecho que, tanto las reformas realizadas en Cuba en la década del 90 -con las modificaciones constitucionales y la expansión de los noveles Consejos Populares-, como el discurso participacionista reflejado en la Constitución de 1999.",1
"Todo ello está generando una nueva forma de creación de valor en la empresa, en la que los activos intangibles se han convertido en ""recursos críticos"" de los que depende el éxito de la empresa. De ahí que desde el concepto de “capital humano” se haya pasado en la actualidad al concepto de capital intelectual o intangible.",1
"En toda la región hay unos 250.000 inmigrantes empadronados, pero la mayoría tienen permiso de trabajo y residencia y acceden a la Seguridad Social gracias a sus cotizaciones. Los indocumentados, al carecer de permisos laborales, sólo pueden trabajar en la “economía sumergida” y, por tanto, no cotizan a la Seguridad Social. Para acceder a la atención médica pública tienen que presentar en el centro de salud más cercano un certificado de empadronamiento, otro de insolvencia y un tercero de no estar cotizando a la Seguridad Social.",1
"El secretario general de la ONU tiene previsto reunirse hoy con el presidente sudanés, Omar Hasan al-Bachir, antes de partir rumbo a la región occidental de Darfur, donde desde hace más de un año se perpetra una escondida “limpieza étnica”.",1
