,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations
0,Daños colaterales,"Llamó la esposa hecha una furia porque lo estaban esperando hacía tres horas para soplar las velitas y Juampi esperaba la playstation que le había prometido. Cuando Ernesto salió del estudio, eran las dos de la mañana. “Daños colaterales”, se justificó, su trabajo era así y había que aceptarlo.",1,Novela,REA (Corpes Siglo XXI),"Dosio, María Celia: Tenemos que hablar. Buenos Aires: Plaza y Janés, 2008",Argentina,
1,Daños colaterales,"Acaso las limitaciones señaladas —entre las cuales figura el boicot de instituciones estadounidenses a figuras disidentes como Tim Robbins o Susan Sarandon— deban incluirse en el paquete de “daños colaterales” y sus víctimas puedan contabilizarse entre las que caen bajo el ""fuego amigo"". Pero convendría saber en qué categoría corresponde colocar el desastre cultural ocurrido luego de la toma de Bagdad, cuando el Museo Arqueológico Nacional resultó saqueado y devastado por asaltantes que nadie controló ni reprimió, o cuando la Biblioteca Nacional de Bagdad quedó vaciada y luego quemada por turbas similares ante las cuales no hubo reacción alguna del ejército ocupante, mientras el Conservatorio de Música también caía bajo el pillaje, con destrucción de todos los instrumentos musicales que cobijaba.",1,Politica,REA (Corpes Siglo XXI),"Abbondanza, Jorge: «Balance en rojo». El País. Montevideo",Uruguay,
2,Daños colaterales,"no existe allá la posibilidad del voto directo, en tanto que desde el Estado se impone abiertamente la censura en los medios masivos de comunicación, para tratar de lavarle la cara a un gobierno que, haciendo caso omiso de Naciones Unidas, decidió por sí mismo invadir a un país petrolero inmensamente rico, sin importar los ""daños colaterales"" que ello conllevaría a la población iraquí. Las dolorosas imágenes están ahí, aunque una gran mayoría de estadounidenses no tengan acceso a ellas",1,Politica,REA (Corpes Siglo XXI),"Batres Guadarrama, Martí: «RESPETO A CUBA». La Jiribilla. La Habana",Cuba,
3,Daños colaterales,"los bombardeos sobre Afganistán. Victoria Clarke, portavoz del Pentágono, dijo que los ataques ya no se centraban en las defensas antiaéreas, sino especialmente en los cuarteles y las tropas de los talibán. ""Dijimos que lo haríamos, y estamos haciéndolo"", declaró. Los bombardeos no demostraban gran preocupación por los posibles “daños colaterales” o la muerte de civiles, ya que las bombas de fragmentación, que estallan durante la caída y esparcen a gran distancia docenas de minibombas altamente explosivas, no garantizan la precisión.",1,Politica,REA (Corpes Siglo XXI),"González, Enric: «Bush promete a sus tropas 'todas las armas' para garantizar la victoria». El País. Madrid",España,
4,Daños colaterales,"Pero, a diferencia del medicamento que saltó a la fama hace poco más de dos años, el vardenafil es mucho más selectivo a la hora de inhibir la fosfodiesterasa y evita “daños colaterales” en cerebro, corazón, ojos, y riñones.",1,Salud,REA (Corpes Siglo XXI),"Cruz, Antimio: «Tramitan competencia del viagra». Reforma. Ciudad de México",Mexico,
5,Daños colaterales,"El lenguaje es un arma de doble filo que muestra tanto como oculta y crea tanto como destruye. Cuando un esquimal mira a la nieve, ve una realidad totalmente distinta que la que yo veo. El esquimal tiene unos cuarenta términos para calificar la nieve. Yo, en cambio, que solo he esquiado dos veces en mi vida, simplifico esa compleja realidad en un solo concepto homogeneizador. En consecuencia, el lenguaje es a menudo utilizado para encubrir (sirvan como muestra algunos tristemente actuales eufemismos como “daños colaterales”, guerra preventiva, downsizing y rightsizing y manipular el punto de vista.",0,Politica,REA (Corpes Siglo XXI),"Robledo Camacho, Marco Antonio: D3D. Un enfoque integral de la dirección de empresas. Madrid: Díaz de Santos, 2004",España,
6,Bar de alterne,"Al igual que a la protagonista de Problemas conyugales, los hombres le merecen una opinión muy poco favorable a Trini y Maruchi, que, en Mujeres de vida fácil, se pasan gran parte de sus días esperando a los clientes en un “bar de alterne”, mientras suena la música de Tatuaje, de doña Concha Piquer. Tampoco ha sido fácil la vida de Paquiña, que, en Promesa de amor, nos refiere con detalle la infidelidad de su marido y las medidas que tomó.",1,Arte and Cultura,REA (Corpes Siglo XXI),"Gutiérrez Carbajo, Francisco: «I. Sesiones plenarias: Teatro breve en los inicios del siglo XXI: Los ""cuadros"" de Alonso de Santos». Romera Castillo, José",España,
7,Bar de alterne,"Es rubia y alta, parece como sueca y habla un español encanallado con gracia muy propio de las chulapas castizas que ya no existen en Madrid. Su padre y su madre son polacos que trabajaban en las minas de Almadén como técnicos de minas. Murieron en un accidente de automóvil cuando tenía cinco años. Pasó a un orfanato, a otro, luego a una familia, a otra, a un padre de mentira, a otro amoroso, hasta llegar al Johnny que la respeta y vive en ocasiones con ella. Pero el Johnny está de viaje, a lo mejor la ha abandonado y ella ha buscado por la Plaza de Santo Domingo, su territorio. En el despacho de quinielas venía perseguida por un chulo que era portero de un “bar de alterne” llamado La Rubia Gozosa.",1,Novela,REA (Corpes Siglo XXI),"Villacís, José: El hombre de la maleta vacía. Barcelona, 2016",España,
8,Apropiación indebida,"Desde su creación y hasta que fuera privatizada la institución en 1985, ninguna empresa o repartición pública podía contratar seguros con aseguradoras privadas, según lo ordenaba la ley. Asimismo, los únicos operadores autorizados en el ISE eran los propios funcionarios rentados de la entidad. El traspaso gratuito de la cartera fiscal a Inés Lucía Pinochet, sin el respaldo o autorización de una ley que lo determinara expresamente, tiene un solo nombre: “apropiación indebida” de recursos públicos. No hay justificación alguna para que ese hecho no haya sido debidamente investigado y, al menos, aclarado judicialmente.",1,Politica-Justicia,REA (Corpes Siglo XXI),"Agnic Krstulovic, Ozren: PINOCHET S.A. La base de la fortuna. Santiago de Chile: RIL, 2006",Chile,
9,Apropiación indebida,"A este segundo grupo lo llamo el de los objetivos truncados. Llegamos a España un número considerable, con beca la gran mayoría, con unas ganas tremendas de estudiar y volver a Guinea. Al poco de estar aquí la situación de Guinea cambió considerablemente, algunas perdieron las becas, otras vieron cómo el dinero que les llegaba mensualmente desde el país, enviado por sus padres, dejó de llegar por varias razones, entre otras muchas por la detención por opositor del cabeza de familia, o por “apropiación indebida” de los bienes familiares. ",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Sipi Mayo, Remei: Inmigración y género. El caso de Guinea Ecuatorial. Donostia-San Sebastián: Tercera Prensa-Hirugarren Prentsa, 2004",Guinea Ecuatorial,
