,Euphemisms,literal translation,euphemistic meanings,category,Rating,text,source,,always eup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Àlejò,guest,menstruation,bodily function,1,"Ni ana, Taiwo, ẹ̀gbọ́n Funke, ni pe ikun e n ro oun. Nigbati o di aro oni, o ni pe oun rí àlejò rẹ̀ lale ánà.",iyanu,,sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Taiwo, egbon Funke ri alejo re lana to wa lati ilu Eko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,Ẹ pàdé àwọn àlejò wa pàtàkì l'Ọ́jọ́rú ọ̀sẹ̀ yìí!,bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,Nollywood gba àlejò ọmọkùnrin jòjòló,bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Ìjọba àpapọ̀ ní ká ṣọ́ra fún ìpéjọ èrò àti àlejò láti Amẹrika, UK, India, Rusia ati France",bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Bakan naa lo tun kilọ fun awọn ọmọ Naijiria lati ṣọra fun gbigba alejo tabi ṣiṣe abẹwo si awọn orilẹ-ede bii Amẹrika, ilẹ Gẹẹsi, India, Rusia ati France.",bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,1,obinrin ti ko ri alejo re mo ,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,1,a mu aso ti obirin naa fi se alejo yii,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Wọn ni inu awọn dun, ti awọn si ti n foju sọna lati gba alejo olori tuntun naa nitori ọba to dara ni Oluwo, ọkọ rẹ jẹ si awọn.",bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Lonii ọjọ Satide ọjọ Kọkandinlogun osu Kẹta ọdun 2022, ni obinrin kan to jẹ alejo tuntun yoo wọ Ilu Iwo wa lati ilu Kano, to wa ni apa ariwa Naijiria.",bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
