,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations,,,,,,,,,,,,,,,,,,
0,Daños colaterales,"Llamó la esposa hecha una furia porque lo estaban esperando hacía tres horas para soplar las velitas y Juampi esperaba la playstation que le había prometido. Cuando Ernesto salió del estudio, eran las dos de la mañana. “Daños colaterales”, se justificó, su trabajo era así y había que aceptarlo.",1,Novela,REA (Corpes Siglo XXI),"Dosio, María Celia: Tenemos que hablar. Buenos Aires: Plaza y Janés, 2008",Argentina,,,,,,,,,,,,,,,,,,,
1,Daños colaterales,"Pero, a diferencia del medicamento que saltó a la fama hace poco más de dos años, el vardenafil es mucho más selectivo a la hora de inhibir la fosfodiesterasa y evita “daños colaterales” en cerebro, corazón, ojos, y riñones.",1,Salud,REA (Corpes Siglo XXI),"Cruz, Antimio: «Tramitan competencia del viagra». Reforma. Ciudad de México",Mexico,,,,,,,,,,,,,,,,,,,
2,Daños colaterales,"los bombardeos sobre Afganistán. Victoria Clarke, portavoz del Pentágono, dijo que los ataques ya no se centraban en las defensas antiaéreas, sino especialmente en los cuarteles y las tropas de los talibán. ""Dijimos que lo haríamos, y estamos haciéndolo"", declaró. Los bombardeos no demostraban gran preocupación por los posibles “daños colaterales” o la muerte de civiles, ya que las bombas de fragmentación, que estallan durante la caída y esparcen a gran distancia docenas de minibombas altamente explosivas, no garantizan la precisión.",1,Politica,REA (Corpes Siglo XXI),"González, Enric: «Bush promete a sus tropas 'todas las armas' para garantizar la victoria». El País. Madrid",España,,,,,,,,,,,,,,,,,,,
3,Daños colaterales,"no existe allá la posibilidad del voto directo, en tanto que desde el Estado se impone abiertamente la censura en los medios masivos de comunicación, para tratar de lavarle la cara a un gobierno que, haciendo caso omiso de Naciones Unidas, decidió por sí mismo invadir a un país petrolero inmensamente rico, sin importar los “daños colaterales” que ello conllevaría a la población iraquí. Las dolorosas imágenes están ahí, aunque una gran mayoría de estadounidenses no tengan acceso a ellas",1,Politica,REA (Corpes Siglo XXI),"Batres Guadarrama, Martí: «RESPETO A CUBA». La Jiribilla. La Habana",Cuba,,,,,,,,,,,,,,,,,,,
4,Daños colaterales,"Acaso las limitaciones señaladas —entre las cuales figura el boicot de instituciones estadounidenses a figuras disidentes como Tim Robbins o Susan Sarandon— deban incluirse en el paquete de “daños colaterales” y sus víctimas puedan contabilizarse entre las que caen bajo el ""fuego amigo"". Pero convendría saber en qué categoría corresponde colocar el desastre cultural ocurrido luego de la toma de Bagdad, cuando el Museo Arqueológico Nacional resultó saqueado y devastado por asaltantes que nadie controló ni reprimió, o cuando la Biblioteca Nacional de Bagdad quedó vaciada y luego quemada por turbas similares ante las cuales no hubo reacción alguna del ejército ocupante, mientras el Conservatorio de Música también caía bajo el pillaje, con destrucción de todos los instrumentos musicales que cobijaba.",1,Politica,REA (Corpes Siglo XXI),"Abbondanza, Jorge: «Balance en rojo». El País. Montevideo",Uruguay,,,,,,,,,,,,,,,,,,,
5,Daños colaterales,"El lenguaje es un arma de doble filo que muestra tanto como oculta y crea tanto como destruye. Cuando un esquimal mira a la nieve, ve una realidad totalmente distinta que la que yo veo. El esquimal tiene unos cuarenta términos para calificar la nieve. Yo, en cambio, que solo he esquiado dos veces en mi vida, simplifico esa compleja realidad en un solo concepto homogeneizador. En consecuencia, el lenguaje es a menudo utilizado para encubrir (sirvan como muestra algunos tristemente actuales eufemismos como “daños colaterales”, guerra preventiva, downsizing y rightsizing y manipular el punto de vista.",0,Politica,REA (Corpes Siglo XXI),"Robledo Camacho, Marco Antonio: D3D. Un enfoque integral de la dirección de empresas. Madrid: Díaz de Santos, 2004",España,,,,,,,,,,,,,,,,,,,
6,Bar de alterne,"Al igual que a la protagonista de Problemas conyugales, los hombres le merecen una opinión muy poco favorable a Trini y Maruchi, que, en Mujeres de vida fácil, se pasan gran parte de sus días esperando a los clientes en un “bar de alterne”, mientras suena la música de Tatuaje, de doña Concha Piquer. Tampoco ha sido fácil la vida de Paquiña, que, en Promesa de amor, nos refiere con detalle la infidelidad de su marido y las medidas que tomó.",1,Arte and Cultura,REA (Corpes Siglo XXI),"Gutiérrez Carbajo, Francisco: «I. Sesiones plenarias: Teatro breve en los inicios del siglo XXI: Los ""cuadros"" de Alonso de Santos». Romera Castillo, José",España,,,,,,,,,,,,,,,,,,,
7,Bar de alterne,"Es rubia y alta, parece como sueca y habla un español encanallado con gracia muy propio de las chulapas castizas que ya no existen en Madrid. Su padre y su madre son polacos que trabajaban en las minas de Almadén como técnicos de minas. Murieron en un accidente de automóvil cuando tenía cinco años. Pasó a un orfanato, a otro, luego a una familia, a otra, a un padre de mentira, a otro amoroso, hasta llegar al Johnny que la respeta y vive en ocasiones con ella. Pero el Johnny está de viaje, a lo mejor la ha abandonado y ella ha buscado por la Plaza de Santo Domingo, su territorio. En el despacho de quinielas venía perseguida por un chulo que era portero de un “bar de alterne” llamado La Rubia Gozosa.",1,Novela,REA (Corpes Siglo XXI),"Villacís, José: El hombre de la maleta vacía. Barcelona, 2016",España,,,,,,,,,,,,,,,,,,,
8,Apropiación indebida,"Desde su creación y hasta que fuera privatizada la institución en 1985, ninguna empresa o repartición pública podía contratar seguros con aseguradoras privadas, según lo ordenaba la ley. Asimismo, los únicos operadores autorizados en el ISE eran los propios funcionarios rentados de la entidad. El traspaso gratuito de la cartera fiscal a Inés Lucía Pinochet, sin el respaldo o autorización de una ley que lo determinara expresamente, tiene un solo nombre: “apropiación indebida” de recursos públicos. No hay justificación alguna para que ese hecho no haya sido debidamente investigado y, al menos, aclarado judicialmente.",1,Politica-Justicia,REA (Corpes Siglo XXI),"Agnic Krstulovic, Ozren: PINOCHET S.A. La base de la fortuna. Santiago de Chile: RIL, 2006",Chile,,,,,,,,,,,,,,,,,,,
9,Apropiación indebida,Advierte que la falta de liquidación de los gastos en forma oportuna puede provocar “apropiación indebida” de fondos y afecta el saldo de la caja fiscal al 31 de diciembre del año pasado.,1,Politica-Justicia,REA (Corpes Siglo XXI),La hora. Guatemala de la Asunción: 2002-06-10,Guatemala,,,,,,,,,,,,,,,,,,,
10,Apropiación indebida,"A este segundo grupo lo llamo el de los objetivos truncados. Llegamos a España un número considerable, con beca la gran mayoría, con unas ganas tremendas de estudiar y volver a Guinea. Al poco de estar aquí la situación de Guinea cambió considerablemente, algunas perdieron las becas, otras vieron cómo el dinero que les llegaba mensualmente desde el país, enviado por sus padres, dejó de llegar por varias razones, entre otras muchas por la detención por opositor del cabeza de familia, o por “apropiación indebida” de los bienes familiares. ",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Sipi Mayo, Remei: Inmigración y género. El caso de Guinea Ecuatorial. Donostia-San Sebastián: Tercera Prensa-Hirugarren Prentsa, 2004",Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,
11,Apropiación indebida,La reunión celebrada en Brasil ha sido un paso más para regular la “apropiación indebida” de los recursos biológicos,1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Oshima, Tana: «¿De quién es la naturaleza?». elmundo.es. Natura. Madrid: 2006-04-08",España,,,,,,,,,,,,,,,,,,,
12,Limpieza Etnica,"Lo ha visto en Bosnia, donde la “limpieza étnica” dejó un rastro de cadáveres que avergonzó a occidente. Y pudo verlo antes en Ruanda, donde una tribu enloquecida trató de exterminar a machetazos a los integrantes de otra etnia a los que poco antes consideraba compatriotas. Y ese mismo hedor agobiante lo sacudió, ya con menos sorpresa, en cierto remoto paraje de Haití, donde una dictadura salvaje apenas se tomó el trabajo de cubrir el rastro de sus crímenes.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Hidalgo, David: «José Pablo Baraybar, un peruano que desentierra la verdad de los más crueles genocidios del mundo». La República.pe. Revista Domingo. Lima: 2001-01-21",Peru,,,,,,,,,,,,,,,,,,,
13,Limpieza Etnica,"El secretario general de la ONU tiene previsto reunirse hoy con el presidente sudanés, Omar Hasan al-Bachir, antes de partir rumbo a la región occidental de Darfur, donde desde hace más de un año se perpetra una escondida “limpieza étnica”.",1,Politica-Justicia,REA (Corpes Siglo XXI),Sudán bajo presión por matanza étnica. Piden frenar violencia contra población civil». La Nación. San José: 2004-07-01,Costa Rica,,,,,,,,,,,,,,,,,,,
14,Tengo la regla,"¡¿Me lo vas a decir, sí o no?! -exclamó ella levantando bruscamente el tono de voz-. Perdona, es que “tengo la regla” y estoy algo irritable.",1,Novela,REA (Corpes Siglo XXI),"Aibar, Óscar: Los comedores de tiza. Madrid: Caballo de Troya, 2004",España,,,,,,,,,,,,,,,,,,,
15,Tengo la regla,"Es que “tengo la regla” —mentí de nuevo, encogiéndome de hombros—. Un grifo de regla. Suelto tanta sangre que dejaría un camino tan largo como el de las baldosas camarillas en El mago de Oz.",1,Novela,REA (Corpes Siglo XXI),"Mírez, Alex: Perfectos mentirosos. Mentiras y secretos. Barcelona: Montena, 2020",España,,,,,,,,,,,,,,,,,,,
16,Tengo la regla,"Newey explicó que se aplica una regla muy particular para saber si sus ideas pueden funcionar. “Tengo la regla” de las 24 horas: ¿todavía parece una buena idea después de 24 horas? Al final, desarrollas una sensibilidad especial para ese procedimiento. El cerebro es una cosa increíble: puede estar haciendo algo completamente diferente, como tomar una taza de té, y de repente descubres si tu idea es buena o mala, detalló.",0,Estilo de vida,REA (Corpes Siglo XXI),"Newey: «Recibo ofertas, pero soy leal a Red Bull». ABC. Madrid: 2014-01-28",España,,,,,,,,,,,,,,,,,,,
17,Pasar a mejor vida,"Luego de 20 años, las famosas ""cookies"" podrían “pasar a mejor vida”, de acuerdo con la intención de gigantes de internet como Google, Apple y Microsoft, que presionados por defensores de la privacidad, buscan alternativas al clásico método para conocer los hábitos de navegación de los usuarios de internet.",1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),Gigantes de internet buscan alternativas a las 'cookies'». El Universal. Cartagena: 2013-11-13,Colombia,,,,,,,,,,,,,,,,,,,
18,Pasar a mejor vida,"Eran ocho guardaespaldas chinos igualmente trajeados, más media docena de cargadores, los tres curitas y el piloto de la avioneta. De los ocho guardaespaldas, pronto sólo hubo cinco en pie. Pero la cuarta víctima no aceptó “pasar a mejor vida” sin forcejear y su resistencia alertó al resto de los chinos. La balacera empezó por todos lados. Eustacio y yo nos cubrimos detrás del muelle, mientras esperábamos la llegada de refuerzos. Éstos se hicieron cargo de la situación en diez minutos, pero los curitas y Ho Fong lograron huir en la avioneta. Y lo peor, las tres embarcaciones alcanzaron a escapar con rumbo al sur.",1,Relato,REA (Corpes Siglo XXI),"Trujillo Muñoz, Gabriel: «Escombros. Sombras chinas». Trebejos. Mexicali: Instituto de Cultura de Baja California, 2001",Mexico,,,,,,,,,,,,,,,,,,,
